Directory Name	Species	Common name	Other species names	Species Taxonomy ID	Taxonomic Lineage	Assembly name	NCBI accession	Source of assembly	NCBI assembly name	NCBI assembly status	Assembly submission date	Assembly submitter organization	contig N50 (bp)	scaffold N50 (bp)	No. ancestral genes with intact ORF	No. ancestral genes with inactivating mutations	No. ancestral genes with missing sequences
Vidua_chalybeata__Village_indigobird__HLvidCha1__GCA_013398495.1	Vidua chalybeata	Village indigobird		81927	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Passeroidea; Viduidae; Vidua	HLvidCha1	GCA_013398495.1	NCBI	ASM1339849v1	Scaffold	2020-07-10	B10K Consortium	387567	916466	-1	-1	-1
Vidua_chalybeata__Village_indigobird__HLvidCha2__GCA_026979565.1	Vidua chalybeata	Village indigobird		81927	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Passeroidea; Viduidae; Vidua	HLvidCha2	GCA_026979565.1	NCBI	bVidCha1 merged haplotype	Chromosome	2022-12-21	Vertebrate Genomes Project	15819291	72553174	-1	-1	-1
Vidua_macroura__Pin-tailed_whydah__HLvidMac2__GCA_024509145.1	Vidua macroura	Pin-tailed whydah		187451	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Passeroidea; Viduidae; Vidua	HLvidMac2	GCA_024509145.1	NCBI	ASM2450914v1	Chromosome	2022-08-03	University of Missouri	7488902	61801348	-1	-1	-1
Drymodes_brunneopygia__Southern_scrub_robin__HLdryBru1__GCA_013400955.1	Drymodes brunneopygia	Southern scrub robin		626378	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Petroicidae; Drymodes	HLdryBru1	GCA_013400955.1	NCBI	ASM1340095v1	Scaffold	2020-07-10	B10K Consortium	79910	443364	-1	-1	-1
Eopsaltria_australis__eastern_yellow_robin__HLeopAus1__GCA_003426825.1	Eopsaltria australis	eastern yellow robin	Motacilla australis	44318	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Petroicidae; Eopsaltria	HLeopAus1	GCA_003426825.1	NCBI	eyr_v1	Scaffold	2018-08-23	Deakin University	641411	987278	-1	-1	-1
Eopsaltria_australis__eastern_yellow_robin__HLeopAus2	Eopsaltria australis	eastern yellow robin	Motacilla australis	44318	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Petroicidae; Eopsaltria	HLeopAus2	DNA Zoo Consortium	DNA Zoo Consortium			2021-11-01		1482134	111210322	-1	-1	-1
Chaetops_frenatus__Rufous_rock-jumper__HLchaFre1__GCA_013400775.1	Chaetops frenatus	Rufous rock-jumper		221966	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Picathartidae; Chaetops	HLchaFre1	GCA_013400775.1	NCBI	ASM1340077v1	Scaffold	2020-07-10	B10K Consortium	34663	250297	-1	-1	-1
Picathartes_gymnocephalus__White_necked_rockfowl__HLpicGym1__GCA_013390045.1	Picathartes gymnocephalus	White necked rockfowl		175131	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Picathartidae; Picathartes	HLpicGym1	GCA_013390045.1	NCBI	ASM1339004v1	Scaffold	2020-07-06	B10K Consortium	36514	110339	-1	-1	-1
Chiroxiphia_lanceolata__lance-tailed_manakin__HLchiLan1__GCA_009829145.1	Chiroxiphia lanceolata	lance-tailed manakin		296741	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Pipridae; Chiroxiphia	HLchiLan1	GCA_009829145.1	NCBI	bChiLan1.pri	Chromosome	2020-01-03	Vertebrate Genomes Project	18496167	75608808	-1	-1	-1
Corapipo_altera__White-ruffed_manakin__HLcorAlt1__GCA_003945725.1	Corapipo altera	White-ruffed manakin		415028	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Pipridae; Corapipo	HLcorAlt1	GCA_003945725.1	NCBI	ASM394572v1	Scaffold	2018-12-14	Smithsonian Institution	262501	12385833	-1	-1	-1
Lepidothrix_coronata__blue-crowned_manakin__HLlepCor1__GCA_001604755.1	Lepidothrix coronata	blue-crowned manakin	Pipra coronata	321398	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Pipridae; Lepidothrix	HLlepCor1	GCA_001604755.1	NCBI	Lepidothrix_coronata-1.0	Scaffold	2016-03-31	McDonnell Genome Institute	141849	4972619	-1	-1	-1
Manacus_candei__White-collared_manakin__HLmanCan1__GCF_025592945.1	Manacus candei	White-collared manakin	Pipra candei	415023	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Pipridae; Manacus	HLmanCan1	GCF_025592945.1	NCBI	ASM2559294v1	Contig	2022-10-05	Smithsonian Institution National Museum of Natural History	15991245	15991245	-1	-1	-1
Manacus_vitellinus__golden-collared_manakin__HLmanVit1__GCA_001715985.3	Manacus vitellinus	golden-collared manakin		328815	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Pipridae; Manacus	HLmanVit1	GCA_001715985.3	NCBI	ASM171598v3	Scaffold	2019-07-03	Smithsonian Institution National Museum of Natural History	290580	17883582	-1	-1	-1
Neopelma_chrysocephalum__saffron-crested_tyrant-manakin__HLneoChr1__GCA_003984885.2	Neopelma chrysocephalum	saffron-crested tyrant-manakin		114329	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Pipridae; Neopelma	HLneoChr1	GCA_003984885.2	NCBI	ASM398488v2	Scaffold	2018-12-28	Smithsonian Institution	237029	10517223	-1	-1	-1
Pipra_filicauda__Wire-tailed_manakin__HLpipFil1__GCA_003945595.1	Pipra filicauda	Wire-tailed manakin		649802	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Pipridae; Pipra	HLpipFil1	GCA_003945595.1	NCBI	ASM394559v1	Scaffold	2018-12-14	Smithsonian Institution	1585402	1695450	-1	-1	-1
Piprites_chloris__white-winged_piprites__HLpipChl1__GCA_013399295.1	Piprites chloris	white-winged piprites		114369	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Pipridae; Piprites	HLpipChl1	GCA_013399295.1	NCBI	ASM1339929v1	Scaffold	2020-07-10	B10K Consortium	75890	2866662	-1	-1	-1
Pseudopipra_pipra__white-crowned_manakin__HLpsePip1A__GCF_036250125.1	Pseudopipra pipra	white-crowned manakin	Pipra pipra,Parus pipra,Dixiphia pipra	415032	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Pipridae; Pseudopipra	HLpsePip1A	GCF_036250125.1	NCBI	bDixPip1.hap1	Chromosome	2024-01-31	Vertebrate Genomes Project	10447158	75011098	-1	-1	-1
Pseudopipra_pipra__white-crowned_manakin__HLpsePip1B__GCA_036250135.1	Pseudopipra pipra	white-crowned manakin	Pipra pipra,Parus pipra,Dixiphia pipra	415032	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Pipridae; Pseudopipra	HLpsePip1B	GCA_036250135.1	NCBI	bDixPip1.hap2	Chromosome	2024-01-31	Vertebrate Genomes Project	11116877	75989417	-1	-1	-1
Pitta_sordida__hooded_pitta__HLpitSor1__GCA_013390025.1	Pitta sordida	hooded pitta		9163	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Pittidae; Pitta	HLpitSor1	GCA_013390025.1	NCBI	ASM1339002v1	Scaffold	2020-07-06	B10K Consortium	41696	176673	-1	-1	-1
Amblyornis_subalaris__streaked_bowerbird__HLambSub1__GCA_018881555.1	Amblyornis subalaris	streaked bowerbird	striped bowerbird	34926	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Ptilonorhynchidae; Amblyornis	HLambSub1	GCA_018881555.1	NCBI	ASM1888155v1	Scaffold	2021-06-14	Swedish Museum of Natural History	695827	5791924	-1	-1	-1
Ptilonorhynchus_violaceus__satin_bowerbird__HLptiVio1__GCA_013397565.1	Ptilonorhynchus violaceus	satin bowerbird		28724	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Ptilonorhynchidae; Ptilonorhynchus	HLptiVio1	GCA_013397565.1	NCBI	ASM1339756v1	Scaffold	2020-07-10	B10K Consortium	120946	1215016	-1	-1	-1
Regulus_satrapa__golden-crowned_kinglet__HLregSat1__GCA_013396955.1	Regulus satrapa	golden-crowned kinglet		13245	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Regulidae; Regulus	HLregSat1	GCA_013396955.1	NCBI	ASM1339695v1	Scaffold	2020-07-10	B10K Consortium	28936	363229	-1	-1	-1
Rhabdornis_inornatus__Stripe-breasted_rhabdornis__HLrhaIno1__GCA_013397075.1	Rhabdornis inornatus	Stripe-breasted rhabdornis		237438	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Rhabdornithidae; Rhabdornis	HLrhaIno1	GCA_013397075.1	NCBI	ASM1339707v1	Scaffold	2020-07-10	B10K Consortium	152176	1047454	-1	-1	-1
Scytalopus_superciliaris__White_browed_tapaculo__HLscySup1__GCA_013400415.1	Scytalopus superciliaris	White browed tapaculo		312124	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Rhinocryptidae; Scytalopus	HLscySup1	GCA_013400415.1	NCBI	ASM1340041v1	Scaffold	2020-07-10	B10K Consortium	60031	632025	-1	-1	-1
Chaetorhynchus_papuensis__pygmy_drongo__HLchaPap1__GCA_013396525.1	Chaetorhynchus papuensis	pygmy drongo		254446	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Rhipiduridae; Chaetorhynchus	HLchaPap1	GCA_013396525.1	NCBI	ASM1339652v1	Scaffold	2020-07-10	B10K Consortium	96574	712200	-1	-1	-1
Rhipidura_dahli__Bismarck_fantail__HLrhiDah1__GCA_013399225.1	Rhipidura dahli	Bismarck fantail		667186	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Rhipiduridae; Rhipidura	HLrhiDah1	GCA_013399225.1	NCBI	ASM1339922v1	Scaffold	2020-07-10	B10K Consortium	98056	789307	-1	-1	-1
Sitta_carolinensis__White-breasted_nuthatch__HLsitCaro1A__GCA_054054645.1	Sitta carolinensis	White-breasted nuthatch		50250	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sittidae; Sitta	HLsitCaro1A	GCA_054054645.1	NCBI	bSitCar1.hap1	Chromosome	2025-12-17	Vertebrate Genomes Project	12525117	45476553	NULL	NULL	NULL
Sitta_europaea__wood_nuthatch__HLsitEur1__GCA_013400255.1	Sitta europaea	wood nuthatch	Kleiber	50251	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sittidae; Sitta	HLsitEur1	GCA_013400255.1	NCBI	ASM1340025v1	Scaffold	2020-07-10	B10K Consortium	79571	660828	-1	-1	-1
Elminia_nigromitrata__Dusky_crested-flycatcher__HLelmNigr1__GCA_041045045.1	Elminia nigromitrata	Dusky crested-flycatcher	Trochocercus nigromitratus,Terpsiphone nigromitrata	107234	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Stenostiridae; Elminia	HLelmNigr1	GCA_041045045.1	NCBI	ASM4104504v1	Scaffold	2024-08-05	Iridian Genomes	32485	71327542	NULL	NULL	NULL
Acridotheres_javanicus__Javan_myna__HLacrJav1__GCA_002849675.1	Acridotheres javanicus	Javan myna	Acridotheres fuscus javanicus	451385	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sturnidae; Acridotheres	HLacrJav1	GCA_002849675.1	NCBI	ASM284967v1	Scaffold	2018-01-02	National University of Singapore	144184	5538430	-1	-1	-1
Acridotheres_tristis__Common_myna__HLacrTris1__GCA_027559615.1	Acridotheres tristis	Common myna	Paradisea tristis,Sturnus tristis	279927	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sturnidae; Acridotheres	HLacrTris1	GCA_027559615.1	NCBI	bAcrTri1.pri	Chromosome	2023-01-09	Vertebrate Genomes Project	7308823	75254055	NULL	NULL	NULL
Lamprotornis_superbus__Superb_starling__HLlamSup1__GCA_015883425.1	Lamprotornis superbus	Superb starling		245042	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sturnidae; Lamprotornis	HLlamSup1	GCA_015883425.1	NCBI	CU_Lasu_v1	Scaffold	2020-12-09	Columbia University	150333	4390367	-1	-1	-1
Leucopsar_rothschildi__Bali_myna__HLleuRot1__GCA_013397325.1	Leucopsar rothschildi	Bali myna		127929	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sturnidae; Leucopsar	HLleuRot1	GCA_013397325.1	NCBI	ASM1339732v1	Scaffold	2020-07-10	B10K Consortium	93565	605901	-1	-1	-1
Pastor_roseus__Rosy_starling__HLpasRose1__GCA_045787025.1	Pastor roseus	Rosy starling	Sturnus roseus,Sturnus roseus (Linnaeus, 1758)	451427	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sturnidae; Pastor	HLpasRose1	GCA_045787025.1	NCBI	ASM4578702v1	Scaffold	2024-12-06	Bird 10,000 Genomes (B10K) consortium	147454	17908476	NULL	NULL	NULL
Sturnus_vulgaris__Common_starling__HLstuVul1__GCA_001447265.1	Sturnus vulgaris	Common starling	starling,European starling	9172	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sturnidae; Sturnus	HLstuVul1	GCA_001447265.1	NCBI	Sturnus_vulgaris-1.0	Scaffold	2015-11-20	McDonnell Genome Institute - Washington University School of Medicine	151865	3416708	-1	-1	-1
Sturnus_vulgaris__Common_starling__HLstuVulg2A__GCA_052056855.1	Sturnus vulgaris	Common starling	starling,European starling	9172	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sturnidae; Sturnus	HLstuVulg2A	GCA_052056855.1	NCBI	bStuVul1.hap1	Chromosome	2025-08-15	Vertebrate Genomes Project	14719593	73111058	NULL	NULL	NULL
Aegithalos_caudatus__Northern_long-tailed_tit__HLaegCau1__GCA_013389925.1	Aegithalos caudatus	Northern long-tailed tit	Long-tailed Tit	73327	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sylvioidea; Aegithalidae; Aegithalos	HLaegCau1	GCA_013389925.1	NCBI	ASM1338992v1	Scaffold	2020-07-06	B10K Consortium	34055	311465	-1	-1	-1
Alauda_arvensis__Eurasian_skylark__HLalaArv1__GCA_902810485.1	Alauda arvensis	Eurasian skylark		88112	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sylvioidea; Alaudidae; Alauda	HLalaArv1	GCA_902810485.1	NCBI	skylark_genome	Scaffold	2020-03-13	UNIVERSITY OF EDINBURGH	79699	1430931	-1	-1	-1
Alaudala_cheleensis__Asian_short-toed_lark__HLalaChe1__GCA_013398995.1	Alaudala cheleensis	Asian short-toed lark	Calandrella cheleensis,Calandrella rufescens cheleensis	670337	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sylvioidea; Alaudidae; Alaudala	HLalaChe1	GCA_013398995.1	NCBI	ASM1339899v1	Scaffold	2020-07-10	B10K Consortium	96766	398825	-1	-1	-1
Eremophila_alpestris_peregrina__horned_lark__HLereAlp1__GCA_009792885.1	Eremophila alpestris peregrina	horned lark	Chionophila alpestris,Alauda alpestris	2668079	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sylvioidea; Alaudidae; Eremophila; Eremophila alpestris	HLereAlp1	GCA_009792885.1	NCBI	CLO_EAlp_1.0	Scaffold	2019-12-23	Cornell University	193817	9421811	-1	-1	-1
Lullula_arborea__Wood_lark__HLlulArbo1A__GCA_987195895.1	Lullula arborea	Wood lark	Alauda arborea	215315	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sylvioidea; Alaudidae; Lullula	HLlulArbo1A	GCA_987195895.1	NCBI	bLulArb1.hap1.1	Chromosome	2026-08-02	WELLCOME SANGER INSTITUTE	72862896	72862896	NULL	NULL	NULL
Cisticola_juncidis__Zitting_cisticola__HLcisJun1__GCA_013400215.1	Cisticola juncidis	Zitting cisticola		52622	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sylvioidea; Cisticolidae; Cisticola	HLcisJun1	GCA_013400215.1	NCBI	ASM1340021v1	Scaffold	2020-07-10	B10K Consortium	74140	873777	-1	-1	-1
Prinia_subflava__tawny-flanked_prinia__HLpriSub1__GCA_021018805.1	Prinia subflava	tawny-flanked prinia		208062	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sylvioidea; Cisticolidae; Prinia	HLpriSub1	GCA_021018805.1	NCBI	Cam_Psub_1.0	Chromosome	2021-12-02	University of Missouri	7984634	53574047	-1	-1	-1
Cecropis_daurica__European_red-rumped_swallow__HLcecDaur1__GCA_057381115.1	Cecropis daurica	European red-rumped swallow	Hirundo daurica	317158	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sylvioidea; Hirundinidae; Cecropis	HLcecDaur1	GCA_057381115.1	NCBI	CecDau	Chromosome	2026-05-11	Jinan University	21243323	76989611	NULL	NULL	NULL
Delichon_dasypus__Asian_house_martin__HLdelDasy1__GCA_037837765.1	Delichon dasypus	Asian house martin	Chelidon dasypus	317145	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sylvioidea; Hirundinidae; Delichon	HLdelDasy1	GCA_037837765.1	NCBI	ASM3783776v1	Scaffold	2024-03-29	Academia Sinica	20730791	74747089	NULL	NULL	NULL
Hirundo_rustica__Barn_swallow__HLhirRus2__GCA_015227805.1	Hirundo rustica	Barn swallow	Rauchschwalbe	43150	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sylvioidea; Hirundinidae; Hirundo	HLhirRus2	GCA_015227805.1	NCBI	bHirRus1.pri	Chromosome	2020-11-04	Vertebrate Genomes Project	2794774	76187387	-1	-1	-1
Hirundo_rustica_rustica__Barn_swallow__HLhirRus1__GCA_003692655.1	Hirundo rustica rustica	Barn swallow	Rauchschwalbe	333673	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sylvioidea; Hirundinidae; Hirundo; Hirundo rustica	HLhirRus1	GCA_003692655.1	NCBI	Chelidonia	Scaffold	2018-10-29	University of Milan	6124600	25954216	-1	-1	-1
Progne_subis_subis__Purple_martin__HLproSubSub1__GCA_022316685.1	Progne subis subis	Purple martin		519845	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sylvioidea; Hirundinidae; Progne; Progne subis	HLproSubSub1	GCA_022316685.1	NCBI	UM_PSub_1	Scaffold	2022-02-17	University of Manitoba	3084734	6129949	-1	-1	-1
Riparia_riparia__Sand_martin__HLripRip1__GCA_020917445.1	Riparia riparia	Sand martin		88110	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sylvioidea; Hirundinidae; Riparia	HLripRip1	GCA_020917445.1	NCBI	IEE_cmpg_Riparia_riparia_6505	Scaffold	2021-11-22	Institute of Ecology and Evolution, University of Bern	43283	13690488	-1	-1	-1
Argya_squamiceps__Arabian_babbler__HLargSqua1__GCA_037834095.1	Argya squamiceps	Arabian babbler	Malurus squamiceps,Turdoides squamiceps,Turdoides squameiceps	1156349	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sylvioidea; Leiothrichidae; Argya	HLargSqua1	GCA_037834095.1	NCBI	ASM3783409v1	Scaffold	2024-03-29	Iridian Genomes	48384	72073535	NULL	NULL	NULL
Leiothrix_lutea__red-billed_leiothrix__HLleiLut1__GCA_013400445.1	Leiothrix lutea	red-billed leiothrix	Pekin robin	36275	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sylvioidea; Leiothrichidae; Leiothrix	HLleiLut1	GCA_013400445.1	NCBI	ASM1340044v1	Scaffold	2020-07-10	B10K Consortium	27764	297511	-1	-1	-1
Pterorhinus_courtoisi__Blue-crowned_laughingthrush__HLpteCour1__GCA_054913815.1	Pterorhinus courtoisi	Blue-crowned laughingthrush	Garrulax galbanus courtoisi	1156347	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sylvioidea; Leiothrichidae; Pterorhinus	HLpteCour1	GCA_054913815.1	NCBI	ASM5491381v1	Chromosome	2026-02-04	Jiangxi Agricultural University	27850013	70596790	NULL	NULL	NULL
Trochalopteron_elliotii__Elliots_laughingthrush__HLtroEll1__GCA_024734555.1	Trochalopteron elliotii	Elliots laughingthrush	Garrulax ellioti,Garrulax elliotii	520170	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sylvioidea; Leiothrichidae; Trochalopteron	HLtroEll1	GCA_024734555.1	NCBI	CL100093368_L02	Scaffold	2022-08-23	Institute of Zoology, Chinese Academy of Sciences	115278	2732127	-1	-1	-1
Locustella_ochotensis__Middendorffs_grasshopper-warbler__HLlocOch1__GCA_013400155.1	Locustella ochotensis	Middendorffs grasshopper-warbler		187437	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sylvioidea; Locustellidae; Helopsaltes	HLlocOch1	GCA_013400155.1	NCBI	ASM1340015v1	Scaffold	2020-07-10	B10K Consortium	58272	653738	-1	-1	-1
Locustella_lanceolata__Lanceolated_warbler__HLlocLanc1__GCA_045788125.1	Locustella lanceolata	Lanceolated warbler	Sylvia lanceolata	260104	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sylvioidea; Locustellidae; Locustella	HLlocLanc1	GCA_045788125.1	NCBI	ASM4578812v1	Scaffold	2024-12-06	Bird 10,000 Genomes (B10K) consortium	134424	12835253	NULL	NULL	NULL
Phylloscopus_collybita__Eurasian_chiffchaff__HLphyColl1__GCA_027886175.1	Phylloscopus collybita	Eurasian chiffchaff	Sylvia collybita	48150	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sylvioidea; Phylloscopidae; Phylloscopus	HLphyColl1	GCA_027886175.1	NCBI	LUni_PhColl_1	Contig	2023-01-17	Lund University	28093532	28093532	NULL	NULL	NULL
Phylloscopus_ibericus__Iberian_chiffchaff__HLphyIber1__GCA_045786995.1	Phylloscopus ibericus	Iberian chiffchaff	Phylloscopus collybita brehmii,Phylloscopus brehmi,Phylloscopus brehmii	1689810	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sylvioidea; Phylloscopidae; Phylloscopus	HLphyIber1	GCA_045786995.1	NCBI	ASM4578699v1	Scaffold	2024-12-06	Bird 10,000 Genomes (B10K) consortium	143966	20112371	NULL	NULL	NULL
Phylloscopus_trochiloides__Greenish_warbler__HLphyTroc1__GCA_048593965.1	Phylloscopus trochiloides	Greenish warbler	Acanthiza trochiloides	48154	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sylvioidea; Phylloscopidae; Phylloscopus	HLphyTroc1	GCA_048593965.1	NCBI	ASM4859396v1	Chromosome	2025-03-17	University of British Columbia	7376425	77876639	NULL	NULL	NULL
Phylloscopus_whistleri__Whistlers_warbler__HLphyWhi1__GCA_017589585.1	Phylloscopus whistleri	Whistlers warbler	Seicercus whistleri	274622	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sylvioidea; Phylloscopidae; Phylloscopus	HLphyWhi1	GCA_017589585.1	NCBI	ASM1758958v1	Contig	2021-03-26	Institute of Zoology, Chinese Academy of Sciences	3796120	3796120	-1	-1	-1
Phylloscopus_trochilus_acredula__Willow_warbler__HLphyTro1__GCA_002305835.1	Phylloscopus trochilus acredula	Willow warbler		209779	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sylvioidea; Phylloscopidae; Phylloscopus; Phylloscopus trochilus	HLphyTro1	GCA_002305835.1	NCBI	ASM230583v1	Scaffold	2016-06-08	Lund University	388702	3249743	-1	-1	-1
Rhadina_sibilatrix__Wood_Warbler__HLrhaSib1__GCA_013400275.1	Rhadina sibilatrix	Wood Warbler		2585818	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sylvioidea; Phylloscopidae; Rhadina	HLrhaSib1	GCA_013400275.1	NCBI	ASM1340027v1	Scaffold	2020-07-10	B10K Consortium	38753	335188	-1	-1	-1
Brachypodius_atriceps__black-headed_bulbul__HLbraAtr1__GCA_013398615.1	Brachypodius atriceps	black-headed bulbul	Pycnonotus atriceps	182895	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sylvioidea; Pycnonotidae; Brachypodius	HLbraAtr1	GCA_013398615.1	NCBI	ASM1339861v1	Scaffold	2020-07-10	B10K Consortium	85408	17537833	-1	-1	-1
Nicator_chloris__Western_nicator__HLnicChl1__GCA_013400495.1	Nicator chloris	Western nicator		237433	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sylvioidea; Pycnonotidae; Nicator	HLnicChl1	GCA_013400495.1	NCBI	ASM1340049v1	Scaffold	2020-07-10	B10K Consortium	56498	99492	-1	-1	-1
Pycnonotus_cafer__Red-vented_bulbul__HLpycCafe1__GCA_053477605.1	Pycnonotus cafer	Red-vented bulbul	Turdus cafer	1003839	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sylvioidea; Pycnonotidae; Pycnonotus	HLpycCafe1	GCA_053477605.1	NCBI	IISERB_BUL_v1	Scaffold	2025-11-14	Indian Institute of Science Education and Research Bhopal	3014782	3045281	NULL	NULL	NULL
Pycnonotus_jocosus__red-whiskered_bulbul__HLpycJoc1__GCA_013400435.1	Pycnonotus jocosus	red-whiskered bulbul		182897	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sylvioidea; Pycnonotidae; Pycnonotus	HLpycJoc1	GCA_013400435.1	NCBI	ASM1340043v1	Scaffold	2020-07-10	B10K Consortium	53855	218123	-1	-1	-1
Tricholestes_criniger__Hairy-backed_bulbul__HLtriCrin1__GCA_056825145.1	Tricholestes criniger	Hairy-backed bulbul	Brachypodius criniger,Hypsipetes criniger	147060	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sylvioidea; Pycnonotidae; Tricholestes	HLtriCrin1	GCA_056825145.1	NCBI	B10K-D-AMNH-2	Scaffold	2026-04-21	Bird 10,000 Genomes (B10K) consortium	66405	3425230	NULL	NULL	NULL
Acrocephalus_arundinaceus__great_reed_warbler__HLacrAru1__GCA_013398685.1	Acrocephalus arundinaceus	great reed warbler		39621	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sylvioidea; Sylviidae; Acrocephalinae; Acrocephalus	HLacrAru1	GCA_013398685.1	NCBI	ASM1339868v1	Scaffold	2020-07-10	B10K Consortium	92557	336459	-1	-1	-1
Acrocephalus_arundinaceus__Great_reed_warbler__HLacrAru2__GCA_021534815.1	Acrocephalus arundinaceus	Great reed warbler	Turdus arundinaceus	39621	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sylvioidea; Sylviidae; Acrocephalinae; Acrocephalus	HLacrAru2	GCA_021534815.1	NCBI	ASM2153481v1	Scaffold	2022-01-20	Lund Unviersity	6141892	21448883	-1	-1	-1
Acrocephalus_familiaris_kingi__Nihoa_millerbird__HLacrFamKin1__GCA_022441285.1	Acrocephalus familiaris kingi	Nihoa millerbird	Tatare familiaris	481813	Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Sylvioidea; Sylviidae; Acrocephalinae; Acrocephalus	HLacrFamKin1	GCA_022441285.1	NCBI	AcrFamKingi1.0	Scaffold	2022-03-02	Smithsonian National Zoological Park and Conservation Biology Institute	102588	3600977	-1	-1	-1
